,case_number
7664,49D08-2211-GU-040597
7666,65D01-2310-GU-000019
7668,72C01-2311-GU-000033
7670,48C01-2402-GU-000070
7674,02D03-1905-GU-000095
7681,02D03-2305-GU-000127
7682,02D03-2312-GU-000344
7688,64D02-2302-GU-001032
7694,34D01-2304-GU-000056
7696,49D08-1908-GU-033466
7700,46D01-2303-GU-000030
7702,49D08-2310-GU-038971
7715,49D08-1902-GU-005945
7720,49D08-1903-GU-011200
7724,33C02-1903-GU-000014
7729,53C01-1908-GU-000108
7730,49D08-2304-GU-014615
7734,45C01-1809-GU-000220
7738,49D08-2311-GU-044840
7739,49D08-1909-GU-040809
7742,30C01-2303-GU-000019
7748,49D16-2108-GU-029562
7749,49D08-2304-GU-017367
7754,52D02-1902-GU-000006
7755,30D01-2211-GU-000071
7760,46D01-2210-GU-000113
7761,73C01-2306-GU-000019
7769,49D08-2307-GU-026719
7774,03C01-2403-GU-001602
7780,02D03-1905-GU-000098
7781,45D11-1801-GU-000033
7783,49D08-1905-GU-017676
7804,49D08-2307-GU-029372
7807,08C01-1908-GU-000014
7809,28C01-2309-GU-000030
7820,55D03-1903-GU-000017
7821,49D08-2307-GU-026945
7822,30D01-2304-GU-000022
7823,49D08-1902-GU-005322
7826,18C01-1905-GU-000072
7831,45D05-1903-GU-000090
7845,29D01-2310-GU-000192
7850,20D01-1801-GU-000005
7852,02D03-2307-GU-000217
7862,49D08-1712-GU-045744
7864,49D08-1903-GU-011848
7866,49D08-2309-GU-035088
7867,49D08-1904-GU-017054
7871,12D01-2301-GU-000005
7877,15C01-2307-GU-000028
7878,49D08-2311-GU-045034
7886,34C01-1902-GU-000017
7893,43D01-2303-GU-000005
7900,02D03-2303-GU-000068
7902,49D08-2302-GU-006391
7903,02D03-1901-GU-000001
7905,62C01-2008-GU-000012
7907,49D08-1906-GU-025353
7908,49D08-2305-GU-020681
7909,24C01-2301-GU-000058
7911,12C01-2305-GU-000021
7933,48C03-2311-GU-000586
7938,29D03-2403-GU-000047
7940,49D08-1901-GU-003388
7950,02D03-2311-GU-000315
7958,49D08-2212-GU-042569
7969,02D03-2304-GU-000097
7973,89D01-2310-GU-000092
7979,46C01-1907-GU-000072
7983,49D08-2306-GU-022683
7995,49D08-1907-GU-026710
7999,69C01-1611-GU-000052
8004,41D01-2305-GU-000068
8010,49D08-2302-GU-007878
8014,49D08-2308-GU-032748
8023,02D03-2306-GU-000187
8024,02D03-2302-GU-000045
8026,02D03-2303-GU-000094
8028,79C01-2310-GU-000117
8030,33C02-2212-GU-000064
8037,32D03-1907-GU-000088
8040,89D02-2310-GU-000103
8047,62C01-2009-GU-000014
8063,49D08-2303-GU-013329
8064,02D03-1903-GU-000055
8069,49D08-2303-GU-011520
8073,49D08-2310-GU-042073
8075,49D08-2403-GU-013563
8082,53C01-2310-GU-000167
8091,41D01-2401-GU-000018
8092,64D01-2310-GU-009624
8093,49D08-2403-GU-013033
8094,49D08-2306-GU-025917
8096,48C03-2304-GU-000201
8103,20D01-1909-GU-000171
8107,49D08-2307-GU-028772
8108,10C01-2310-GU-000129
8110,49D08-2301-GU-000470
8111,01C01-1902-GU-000005
8116,49D08-1905-GU-021267
8130,20D01-1902-GU-000026
8134,89D02-2306-GU-000056
8136,49D08-2308-GU-031685
8146,49D08-1903-GU-012183
8149,49D08-1903-GU-010104
8153,02D03-2304-GU-000098
8168,73C01-2402-GU-000006
8172,49D08-2309-GU-036907
8173,22C01-2309-GU-000086
8175,75C01-1903-GU-000014
8183,29D01-1904-GU-000072
8187,49D08-1901-GU-003672
8188,02D03-1909-GU-000172
8189,49D08-1906-GU-022384
8191,18C01-2301-GU-000004
8195,41D01-2312-GU-000184
8201,49D08-1904-GU-013865
8205,02D03-1904-GU-000066
8212,49D08-2310-GU-039249
8213,49D08-1901-GU-001269
8217,41D01-2310-GU-000161
8220,45D11-1810-GU-000231
8226,49D08-1903-GU-010575
8229,02D03-2401-GU-000023
8247,48C01-2310-GU-000524
8254,49D08-2306-GU-022017
8259,49D08-2309-GU-035171
8265,12D01-2301-GU-000001
8270,46D02-1611-GU-000132
8271,79C01-1908-GU-000077
8274,32D01-2306-GU-000071
8279,49D08-2309-GU-038146
8285,30C01-2302-GU-000006
8290,49D08-1908-GU-031909
8291,20D06-2403-GU-000033
8292,02D03-1903-GU-000052
8294,49D08-1906-GU-023655
8297,49D08-1904-GU-012964
8301,02D03-2307-GU-000232
8305,49D08-2303-GU-008950
8309,49D08-2312-GU-047026
8319,02D03-2303-GU-000085
8320,49D08-1903-GU-012605
8324,49D08-1906-GU-023112
8328,49D08-2306-GU-023326
8335,49D08-2307-GU-029374
8341,41D01-2402-GU-000028
8342,47C01-1907-GU-000042
8346,45D05-1903-GU-000064
8348,49D08-2308-GU-030760
8354,49D08-2312-GU-046456
8357,18C01-1911-GU-000160
8359,41D01-2401-GU-000016
8364,34D02-1802-GU-000010
8366,49D08-1907-GU-028271
8371,49D08-1908-GU-033436
8386,49D08-2306-GU-026035
8387,48C03-1907-GU-000376
8391,41D01-1907-GU-000112
8392,77C01-2311-GU-000032
8396,49D08-1906-GU-023353
8397,28C01-2402-GU-000004
8401,49D08-1902-GU-004576
8404,49D08-2306-GU-023276
8414,02D03-1909-GU-000163
8415,02D03-2310-GU-000302
8416,49D08-2309-GU-035820
8426,02D03-2308-GU-000246
8428,49D08-2310-GU-041093
8429,53C01-1903-GU-000028
8438,20D06-2403-GU-000035
8439,53C01-1908-GU-000120
8443,53C01-2303-GU-000025
8444,02D03-1809-GU-000269
8445,49D08-1904-GU-016902
8447,18C01-2010-GU-000108
8460,45D11-2310-GU-000261
8463,28C01-1908-GU-000027
8470,46D01-2209-GU-000097
8473,46D01-1904-GU-000029
8487,49D08-1909-GU-037488
8488,02D03-1904-GU-000070
8490,49D08-2310-GU-038611
8502,06D01-1904-GU-000021
8503,49D08-1903-GU-010379
8504,49D08-1907-GU-029799
8518,72C01-2311-GU-000032
8519,02D03-1907-GU-000135
8523,72C01-1908-GU-000024
8529,49D08-2306-GU-022250
8539,49D08-2212-GU-043389
8542,32D01-1905-GU-000067
8546,32D03-1908-GU-000097
8555,52C01-2402-GU-000005
8556,29D03-2307-GU-000112
8557,49D08-2305-GU-020680
8561,18C01-2311-GU-000136
8566,10C01-1903-GU-000050
8576,49D08-2306-GU-024493
8583,49D08-1906-GU-026122
8584,41D01-2302-GU-000018
8585,21D01-1903-GU-000012
8592,49D08-2306-GU-025534
8595,30D01-2312-GU-000074
8597,31C01-1808-GU-000040
8601,49D08-2312-GU-046674
8602,41D01-2308-GU-000140
8604,49D08-1905-GU-019305
8605,33C01-1801-GU-000001
8607,52D02-1901-GU-000004
8609,49D08-2303-GU-013315
8612,02D03-2304-GU-000110
8614,53C01-2307-GU-000115
8616,02D03-2312-GU-000354
8620,64D01-1905-GU-005195
8624,02D03-1903-GU-000045
8627,02D03-1906-GU-000109
8632,33C02-1901-GU-000006
8637,30D01-2212-GU-000075
8639,46D02-1905-GU-000053
8642,73C01-2308-GU-000034
8652,47C01-2306-GU-000044
8671,02D03-1905-GU-000096
8675,49D08-2308-GU-032549
8681,10C01-2302-GU-000013
8684,46C01-2402-GU-000023
8689,49D08-1909-GU-039095
8691,65C01-2008-GU-000015
8693,49D08-2309-GU-036218
8701,33C02-1905-GU-000028
8702,79C01-1907-GU-000069
8705,02D03-2301-GU-000029
8707,73C01-2311-GU-000058
8709,49D08-2311-GU-045753
8710,49D08-1904-GU-016355
8719,84D02-2310-GU-006576
8720,48C01-1903-GU-000137
8728,02D03-2304-GU-000120
8733,49D08-2312-GU-048851
8735,49D24-2311-GU-044840
8741,49D08-2312-GU-049647
8743,67C01-1902-GU-000008
8747,49D08-2403-GU-011193
8748,46C01-2307-GU-000080
8749,56C01-2305-GU-000447
8750,47C01-1903-GU-000015
8753,49D08-1905-GU-018050
8757,29D03-1908-GU-000180
8760,29D01-2403-GU-000038
8762,49D08-1909-GU-037176
8763,64D01-2310-GU-009156
8766,49D08-2305-GU-021851
8772,02D03-2304-GU-000100
8775,91C01-2403-GU-000009
8778,18C01-1907-GU-000111
8782,49D08-2311-GU-042796
8794,49D08-1910-GU-041872
8796,45C01-1706-GU-000095
8803,02D03-1905-GU-000083
8808,49D08-1909-GU-040400
8809,49D08-1806-GU-025597
8814,05C01-2301-GU-000002
8818,49D08-1907-GU-030692
8828,46D01-1905-GU-000047
8831,49D08-1904-GU-013464
8838,79C01-2310-GU-000116
8841,89C01-2306-GU-000055
8843,30C01-2403-GU-000026
8847,02D03-2307-GU-000227
8851,49D08-2306-GU-024053
8854,20D01-1908-GU-000162
8857,49D08-1903-GU-008752
8862,02D03-1903-GU-000044
8863,32D01-1802-GU-000015
8864,45C01-1907-GU-000206
8865,91C01-2403-GU-000010
8869,49D08-2401-GU-003560
8875,02D03-2310-GU-000304
8879,12C01-2301-GU-000004
8880,49D08-1909-GU-036609
8882,29D03-1902-GU-000033
8886,14C01-2302-GU-000010
8899,34D04-1903-GU-000031
8902,02D03-1909-GU-000164
8903,02D03-2311-GU-000332
8920,49D08-2302-GU-004389
8927,64D01-2310-GU-009155
8934,49D08-2305-GU-020693
8941,21D01-1907-GU-000053
8948,49D08-2308-GU-032065
8949,41D01-1905-GU-000087
8950,49D08-2310-GU-040336
8956,49D08-2310-GU-040897
8963,02D03-2302-GU-000044
8971,07C01-2001-GU-000004
8975,49D08-1907-GU-030528
8976,06D01-2311-GU-000079
8984,29D03-2303-GU-000038
8991,49D08-1901-GU-002500
8992,41D01-2308-GU-000143
8994,02D03-2403-GU-000063
8999,18C01-1911-GU-000159
9002,49D08-2309-GU-034711
9003,49D08-1901-GU-001715
9009,10C01-1908-GU-000109
9014,29D03-2306-GU-000107
9015,52C01-2308-GU-000032
9018,02D03-2312-GU-000352
9020,39C01-2402-GU-000010
9026,89D02-1901-GU-000006
9027,49D08-2401-GU-002251
9031,49D08-2308-GU-033671
9034,10C01-2304-GU-000051
9046,28C01-1904-GU-000012
9049,02D03-2312-GU-000351
9051,27C01-2402-GU-000010
9052,49D08-2311-GU-046384
9055,31C01-1901-GU-000001
9057,49D08-1905-GU-017712
9059,02D03-2307-GU-000209
9068,49D08-2312-GU-047592
9077,49D08-2402-GU-008824
9081,74C01-2308-GU-000030
9084,49D08-2310-GU-040196
9088,02D03-1905-GU-000080
9091,49D08-1908-GU-033439
9100,89C01-1904-GU-000054
9102,29D03-2303-GU-000048
9106,49D08-1909-GU-038023
9107,29D03-1904-GU-000074
9113,84D03-2306-GU-003535
9115,73C01-2003-GU-000007
9116,30C01-2402-GU-000019
9126,84D03-2308-GU-005484
9128,49D08-1904-GU-013815
9134,02D03-1901-GU-000002
9136,53C01-2307-GU-000112
9137,45D05-1808-GU-000183
9138,49D08-1909-GU-038538
9139,49D08-2212-GU-043643
9146,48C01-2308-GU-000400
9147,47C01-1909-GU-000059
9152,53C01-2304-GU-000054
9155,02D03-2402-GU-000049
9156,48C06-2307-GU-000341
9158,52C01-2403-GU-000013
9159,49D08-1901-GU-000921
9161,53C01-2401-GU-000006
9162,67C01-1903-GU-000011
9163,49D08-2304-GU-015016
9165,49D08-2312-GU-049682
9169,60C01-1903-GU-000010
9176,49D08-2310-GU-040639
9181,49D08-1906-GU-022867
9185,62C01-1905-GU-000010
9190,12D01-2303-GU-000010
9191,50C01-2307-GU-000035
9206,43D01-1901-GU-000012
9207,49D08-1906-GU-025085
9214,74C01-2303-GU-000009
9220,31C01-1908-GU-000028
9221,49D08-1908-GU-033065
9225,02D03-2303-GU-000062
9229,49D08-2311-GU-044092
9232,45D11-1810-GU-000269
9237,41D01-2402-GU-000031
9238,67C01-2308-GU-000024
9240,32D01-1906-GU-000080
9244,18C01-1902-GU-000025
9247,02D03-2212-GU-000349
9254,45C01-1809-GU-000219
9258,49D08-2309-GU-037867
9259,49D10-2308-GU-033667
9262,49D08-2311-GU-044741
9266,48C01-1906-GU-000320
9268,02D03-2401-GU-000016
9274,53C01-1908-GU-000116
9275,73C01-2107-GU-000044
9285,74C01-2302-GU-000007
9292,80C01-1908-GU-000026
9300,43D01-2401-GU-000004
9317,33C01-1907-GU-000043
9320,49D08-1906-GU-022226
9324,49D08-1902-GU-007439
9336,33C01-1908-GU-000047
9339,41D01-2308-GU-000141
9340,49D08-1802-GU-008305
9341,17D02-2208-GU-000023
9342,46C01-1907-GU-000073
9348,49D08-2212-GU-041826
9352,53C01-2402-GU-000025
9355,45D05-1905-GU-000138
9362,49D08-2302-GU-004487
9365,49D08-1904-GU-013813
9376,49D08-2309-GU-036687
9385,49D08-2312-GU-048510
9389,50C01-2312-GU-000059
9390,20C01-2301-GU-000005
9394,78C01-2311-GU-000019
9399,33C01-1905-GU-000026
9402,49D24-2310-GU-038813
9412,79C01-2302-GU-000020
9416,52C01-2307-GU-000025
9417,49D08-1903-GU-009835
9418,06D01-2306-GU-000028
9424,41D01-2303-GU-000044
9430,02D03-2308-GU-000244
9431,02D03-2304-GU-000102
9440,49D08-2312-GU-047683
9451,02D03-2304-GU-000112
9452,65D01-2303-GU-000006
9458,49D08-2306-GU-024487
9460,71C01-2301-GU-000008
9461,02D03-1907-GU-000140
9463,32D01-1908-GU-000093
9477,37C01-2308-GU-000806
9478,49D08-2303-GU-011208
9479,18C01-2301-GU-000010
9487,35C01-2403-GU-000008
9488,49D08-1909-GU-038580
9493,79C01-1904-GU-000038
9495,02D03-1906-GU-000115
9498,02D03-2402-GU-000035
9499,62C01-1802-GU-000001
9500,41D01-1905-GU-000089
9509,84D03-1907-GU-004975
9512,41D01-1901-GU-000006
9513,45D02-1905-GU-000146
9516,05C01-1903-GU-000007
9520,02D03-2305-GU-000141
9523,49D08-2403-GU-013871
9524,49D08-2303-GU-012302
9527,50C01-1906-GU-000032
9529,18C05-1903-GU-000032
9538,49D08-2304-GU-017284
9541,49D08-2308-GU-031751
9543,45D11-2304-GU-000076
9546,49D08-2307-GU-029912
9548,46D02-1902-GU-000015
9549,02D03-2403-GU-000069
9556,02D03-2303-GU-000057
9557,49D08-2311-GU-042867
9558,79C01-1901-GU-000002
9568,72C01-1909-GU-000028
9569,32D01-1903-GU-000039
9579,84D02-1906-GU-004374
9581,20D01-1903-GU-000054
9584,18C01-1905-GU-000068
9594,50C01-2307-GU-000033
9595,47C01-2403-GU-000014
9596,49D08-1905-GU-018220
9598,02D03-1908-GU-000159
9616,45D05-1910-GU-000284
9638,02D03-2306-GU-000173
9639,32D01-2312-GU-000148
9641,49D08-2306-GU-022869
9643,32D01-1908-GU-000092
9646,53C01-1905-GU-000061
9649,49D08-1902-GU-005514
9651,32D01-1902-GU-000010
9654,49D08-2308-GU-030841
9661,49D08-2303-GU-012100
9666,89D02-1902-GU-000013
9667,41D01-1902-GU-000033
9678,49D08-2303-GU-009526
9684,79C01-1906-GU-000055
9688,49D08-1907-GU-029960
9692,02D03-2307-GU-000239
9694,49D08-2212-GU-041927
9705,49D08-1905-GU-021264
9706,49D08-2309-GU-036807
