,case_number
1575,80C01-2302-GU-000003
1580,48C03-2311-GU-000562
1586,12C01-2301-GU-000003
1595,02D03-2307-GU-000229
1597,20D01-1904-GU-000076
1601,49D08-2301-GU-002622
1603,19C01-1608-GU-000037
1604,30C01-2401-GU-000003
1609,73C01-1907-GU-000071
1614,49D08-2302-GU-006853
1623,41D01-1902-GU-000029
1627,49D08-2311-GU-046073
1630,62C01-2007-GU-000009
1635,07C01-1602-GU-000006
1642,73C01-2312-GU-000061
1649,49D08-2307-GU-027374
1652,18C01-2403-GU-000032
1666,53C01-2310-GU-000168
1672,08C01-1906-GU-000011
1682,18C01-2301-GU-000003
1687,59C01-2302-GU-000016
1690,50C01-2307-GU-000034
1692,49D08-2301-GU-003774
1694,87C01-2304-GU-000022
1700,43D01-2311-GU-000065
1705,28C01-1611-GU-000041
1707,77C01-1908-GU-000027
1716,33C02-1908-GU-000049
1721,30D01-1605-GU-000031
1722,49D08-1903-GU-010165
1725,02D03-1909-GU-000174
1728,49D08-1904-GU-014396
1734,49D08-2306-GU-024031
1740,32D01-2312-GU-000147
1743,28C01-1905-GU-000013
1745,34D01-1909-GU-000131
1748,02D03-1904-GU-000077
1755,49D08-2309-GU-034905
1759,49D08-2308-GU-030828
1760,30C01-2304-GU-000021
1762,49D08-1907-GU-029473
1774,30D01-2304-GU-000023
1779,49D08-2304-GU-016187
1785,49D08-2212-GU-043616
1786,49D08-1901-GU-003694
1789,47C01-1909-GU-000063
1792,18C01-1903-GU-000038
1794,02D03-1806-GU-000159
1795,49D08-1908-GU-035498
1797,20D06-2312-GU-000161
1802,49D08-2304-GU-015143
1803,48C03-2309-GU-000473
1806,49D08-2308-GU-033362
1808,46C01-2301-GU-000006
1811,28C01-1907-GU-000023
1815,02D03-2403-GU-000061
1816,02D03-1901-GU-000012
1820,43D01-2304-GU-000015
1821,45D05-1905-GU-000151
1827,49D08-1901-GU-001314
1829,02D03-2309-GU-000278
1831,49D08-1907-GU-026468
1835,34D02-2401-GU-000004
1839,33C01-1909-GU-000058
1843,79C01-1905-GU-000049
1846,49D08-2301-GU-002232
1847,87D02-2303-GU-000020
1848,02D03-2303-GU-000081
1850,02D03-1906-GU-000113
1855,49D08-2312-GU-047637
1856,73C01-2306-GU-000020
1858,50C01-2308-GU-000038
1859,49D08-1903-GU-010661
1864,49D08-2312-GU-050238
1865,49D08-2305-GU-019094
1873,29D01-2312-GU-000219
1883,88D01-2401-GU-000006
1890,02D03-1902-GU-000018
1891,20D01-1907-GU-000138
1893,53C01-2305-GU-000067
1896,43D01-1905-GU-000030
1897,49D08-2311-GU-044767
1902,62C01-2008-GU-000011
1912,49D08-1904-GU-014126
1914,73C01-1901-GU-000006
1928,49D08-1902-GU-005098
1930,49D08-1905-GU-018694
1931,49D08-2311-GU-046176
1935,45D02-1903-GU-000071
1940,48C01-1908-GU-000445
1942,20D01-1902-GU-000029
1943,02D03-2401-GU-000010
1951,49D08-1905-GU-019684
1956,19C01-2307-GU-000020
1974,02D03-2212-GU-000344
1978,49D15-2108-GU-026516
1979,11C01-2308-GU-000022
1990,49D08-1907-GU-028247
1999,24C01-2310-GU-000572
2001,18C01-1903-GU-000037
2002,49D08-2304-GU-014065
2005,49D08-1908-GU-035660
2010,55D01-2312-GU-000069
2015,49D08-1903-GU-010749
2021,80C01-1904-GU-000007
2028,49D10-2308-GU-031571
2035,20D01-1907-GU-000133
2038,02D03-2305-GU-000125
2039,73C01-2304-GU-000009
2040,54D01-1612-GU-000056
2041,49D08-2305-GU-019397
2044,12C01-2308-GU-000033
2045,70D01-1907-GU-000010
2052,41D01-2304-GU-000062
2055,49D08-2307-GU-028438
2061,33C02-1904-GU-000019
2062,49D08-1901-GU-000495
2065,18C01-1908-GU-000117
2067,02D03-2304-GU-000114
2072,91C01-2302-GU-000006
2082,49D08-2301-GU-002664
2097,12C01-2312-GU-000043
2101,49D08-2212-GU-043808
2102,02D03-1903-GU-000038
2112,02D03-2308-GU-000245
2123,49D08-2305-GU-021832
2125,03C01-2402-GU-000905
2127,49D08-2301-GU-001343
2129,45C01-1902-GU-000027
2131,49D08-1902-GU-007592
2134,46D02-2402-GU-000031
2137,65D01-2203-GU-000004
2147,47C01-2310-GU-000067
2149,02D03-1907-GU-000146
2155,77C01-2304-GU-000009
2157,49D08-1902-GU-006310
2158,49D15-2104-GU-013320
2159,49D08-1910-GU-041371
2160,73C01-2004-GU-000011
2170,53C01-1901-GU-000008
2178,89D02-1904-GU-000050
2180,30C01-2304-GU-000028
2186,49D08-1904-GU-014184
2198,45C01-2305-GU-000119
2200,03C01-2309-GU-004656
2205,49D08-1902-GU-007509
2210,49D08-1906-GU-022990
2211,28C01-1903-GU-000010
2220,54D01-1601-GU-000002
2226,49D08-2303-GU-010737
2230,84D03-2303-GU-001346
2237,02D03-2303-GU-000060
2238,49D08-2403-GU-009310
2242,49D08-1906-GU-025039
2243,49D08-1907-GU-028194
2244,74C01-2306-GU-000026
2246,49D08-2304-GU-015383
2247,02D03-2302-GU-000047
2250,49D08-2303-GU-012841
2263,33C01-1905-GU-000027
2265,49D08-2311-GU-045942
2269,49D08-2304-GU-015398
2271,18C01-1909-GU-000129
2273,89D01-2310-GU-000103
2275,31C01-2308-GU-000039
2278,45C01-2310-GU-000266
2279,49D08-2404-GU-014881
2280,20D01-1903-GU-000050
2287,49D08-2303-GU-011976
2297,49D08-1910-GU-041878
2303,83C01-2404-GU-000008
2308,49D08-2301-GU-003589
2312,24C01-2306-GU-000301
2322,02D03-2306-GU-000185
2327,49D08-1901-GU-002329
2338,34D02-1906-GU-000096
2342,03C01-2303-GU-001164
2345,02D03-1905-GU-000099
2350,32D01-1904-GU-000043
2359,41D01-2402-GU-000029
2371,02D03-1903-GU-000041
2372,89D01-2310-GU-000101
2378,12C01-2401-GU-000003
2382,47C01-2310-GU-000068
2392,02D03-1903-GU-000028
2399,49D08-2307-GU-027787
2404,02D03-1903-GU-000035
2409,79C01-1907-GU-000075
2410,49D08-2308-GU-032943
2413,49D08-1910-GU-042841
2417,48C06-1802-GU-000088
2419,12C01-2305-GU-000016
2420,49D08-1910-GU-042035
2432,49D08-2402-GU-007857
2440,43D01-1908-GU-000063
2447,20D01-2302-GU-000024
2448,49D08-2305-GU-021398
2451,53C01-2308-GU-000129
2454,29D01-1606-GU-000100
2458,45D05-1808-GU-000177
2463,79C01-1903-GU-000023
2468,49D08-2309-GU-036213
2472,49D08-2303-GU-011820
2473,49D08-2308-GU-033457
2474,49D08-1906-GU-024677
2475,49D08-2308-GU-030042
2476,49D08-2306-GU-025970
2478,65D01-2305-GU-000008
2479,48C01-2312-GU-000608
2481,49D08-1908-GU-035510
2483,49D08-2301-GU-003917
2491,02D03-1908-GU-000155
2496,49D08-2301-GU-002375
2497,46C01-1910-GU-000095
2499,49D08-2308-GU-033158
2501,49D08-2308-GU-032319
2502,80C01-1905-GU-000012
2510,49D08-2306-GU-022650
2515,30C01-2301-GU-000002
2519,47C01-2311-GU-000075
2521,49D08-2302-GU-008037
2524,49D08-1905-GU-020007
2526,02D03-1904-GU-000065
2532,49D08-2311-GU-046040
2539,49D08-1902-GU-006301
2550,02D03-1910-GU-000191
2557,49D08-1908-GU-034833
2559,32D01-1906-GU-000079
2561,02D03-1910-GU-000185
2565,49D08-2303-GU-012955
2567,49D08-2311-GU-045321
2569,37C01-1904-GU-000339
2571,02D03-2302-GU-000051
2575,49D08-2311-GU-043381
2577,89D01-2401-GU-000009
2579,84D02-1902-GU-001037
2582,43D01-2403-GU-000016
2591,49D08-2312-GU-048826
2595,02D03-2303-GU-000091
2606,47C01-1806-GU-000056
