,docket_event_description,count,case_examples
272,Order Granting Motion for Rule to Show Cause,6,22c01-1807-gu-000057; 20d01-1809-gu-000194; 71c01-1610-gu-000222; 54d01-1706-gu-000018
273,Order Granting Motion for Mediation,6,37d01-1708-gu-000697; 18c01-1912-gu-000168; 49d08-1602-gu-007078; 45d02-1809-gu-000202; 49d08-1602-gu-007081; 22c01-1704-gu-000034
283,Mediator Accepts Referral,6,80c01-1803-gu-000001; 37d01-1708-gu-000697; 34d02-1810-gu-000072; 34d02-1810-gu-000071
293,Order Granting Motion to Modify,5,27d03-1812-gu-000121; 49d08-1706-gu-023009; 20d01-1702-gu-000020; 49d08-1803-gu-008798; 49d08-2005-gu-016216
294,Order Granting Motion to Quash,5,45d02-1905-gu-000146; 49d08-2009-gu-033922; 49d08-1602-gu-007436
302,Order Granting Motion for Instructions,4,82d04-1603-gu-000131; 29d01-1804-gu-000069; 27d03-1602-gu-000009
308,Order Granting Motion to Discharge,4,82d04-1606-gu-000338; 45d02-1809-gu-000202; 49d08-2007-gu-021865; 42c01-1609-gu-000062
310,Order Granting Motion to Reconsider,4,41d01-1902-gu-000024; 41d01-1902-gu-000023; 49d08-1801-gu-003308; 49d08-1612-gu-044810
315,Order Granting Motion to Strike,4,50c01-1910-gu-000049; 49d08-1906-gu-022867; 31c01-1709-gu-000054; 49d08-1711-gu-044259
317,Order Granting Motion to Terminate Appointment,4,20d01-1805-gu-000079; 82d04-1704-gu-000218; 45d05-1701-gu-000002
318,Order Granting Motion to Shorten Time,4,27d03-1810-gu-000105; 29d01-1804-gu-000069; 18c01-1811-gu-000140; 54d01-1801-gu-000003
324,Order Approving Closing Statement,4,27d03-1611-gu-000081; 33c01-1801-gu-000004; 33c01-1801-gu-000005; 03d01-1709-gu-004850
341,Order Approving Report of Sale of Personal Property,3,49d08-1712-gu-046127; 49d08-1905-gu-021266; 45d05-1809-gu-000199
342,Order Granting Objection to Report,3,49d09-1608-gu-029944; 49d08-1608-gu-029944; 03d01-1702-gu-000631
353,Order Granting Motion for Stay,3,73d01-1607-gu-000043; 80c01-1611-gu-000032; 88c01-1607-gu-000043
395,Order Granting Motion for Notice of Proceedings,2,49d08-1606-gu-022610; 50c01-1812-gu-000076
396,Order Granting Motion for Compliance/Review Hearing,2,41d01-1903-gu-000047; 49d08-2002-gu-005647
402,Order Granting Report Recommending Ext. of Temp. Commitment,2,45d02-1812-gu-000304; 64d01-1905-gu-004978
403,Order Granting Petition for Unsupervised Administration,2,79c01-1702-gu-000029; 79c01-1702-gu-000021
406,Order Granting Motion for 41E Dismissal,2,20c01-1904-gu-000077; 49d08-1804-gu-015773
408,Order Granting Motion For Final Hearing,2,20d01-1606-gu-000082; 49d08-1601-gu-002011
412,State of Indiana Inheritance Tax Acceptance Letter Filed,1,29d03-1707-gu-000130
416,Unless Response Filed: Granted,1,50c01-1604-gu-000025
425,Court Reviews Magistrate's Findings; Court Disapproves,1,49d08-1707-gu-027080
432,Order Granting Motion to Execute,1,50c01-2011-gu-000056
468,Order Disapproving Biennial Accounting,1,79c01-1810-gu-000089
491,Order Granting Motion for Default Judgment,1,49d08-1804-gu-014550
493,Order Granting Motion for Pretrial Conference,1,52c01-1806-gu-000008
494,Order Granting Motion for Temporary Restraining Order,1,49d08-2006-gu-021479
495,Order Granting Motion to Amend Information,1,10c01-2005-gu-000055
498,Order Granting Motion to Forfeit Bond,1,18c01-1808-gu-000106
499,Order Granting Motion to Seal Public Records,1,46c01-1612-gu-000150
501,Order Granting Motion to Set Aside/Vacate Judgment,1,03d01-1707-gu-003735
